Id,Data,Sessão,Fase,Discurso,Orador,Partido,UF,Hora,Publicação
nI3nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,AFONSO FLORENCE,PT,BA,12h37,DCN 05/05/2022 PAG. 15
nI23nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,AFONSO FLORENCE,PT,BA,12h37,DCN 05/05/2022 PAG. 41
nI27nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,AFONSO FLORENCE,PT,BA,12h37,DCN 05/05/2022 PAG. 44
nI33nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,AFONSO FLORENCE,PT,BA,12h37,DCN 05/05/2022 PAG. 49
nI37nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,AFONSO FLORENCE,PT,BA,12h37,DCN 05/05/2022 PAG. 51
nI40nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,AFONSO FLORENCE,PT,BA,12h37,DCN 05/05/2022 PAG. 53
nI41nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,AFONSO FLORENCE,PT,BA,12h37,DCN 05/05/2022 PAG. 53
nI46nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,AFONSO FLORENCE,PT,BA,12h37,DCN 05/05/2022 PAG. 62
nI48nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,AFONSO FLORENCE,PT,BA,12h37,DCN 05/05/2022 PAG. 64
nI52nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,AFONSO FLORENCE,PT,BA,12h37,DCN 05/05/2022 PAG. 77
nI6nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,AGUINALDO RIBEIRO,PP,PB,12h37,DCN 05/05/2022 PAG. 22
nI1nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,ANTONIO BRITO,PSD,BA,12h37,DCN 05/05/2022 PAG. 13
nI2nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,ARLINDO CHINAGLIA,PT,SP,12h37,DCN 05/05/2022 PAG. 13
nI5nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,ARLINDO CHINAGLIA,PT,SP,12h37,DCN 05/05/2022 PAG. 20
nI14nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,BIRA DO PINDARÉ,PSB,MA,12h37,DCN 05/05/2022 PAG. 31
nI22nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,CARMEN ZANOTTO,CIDADANIA,SC,12h37,DCN 05/05/2022 PAG. 40
nI10nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,CHRISTIANE DE SOUZA YARED,PL,PR,12h37,DCN 05/05/2022 PAG. 26
nI18nQ0nS013nO0,2022-04-28,013.4.56.N,ORDEM DO DIA,,CLAUDIO CAJADO,PP,BA,12h37,DCN 05/05/2022 PAG. 34
